,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
1141_FACS 3m,marrow,precursor B cell,3m,FACS 3m,1141_FACS 3m,8
1142_FACS 3m,fat,mesenchymal stem cell of adipose,3m,FACS 3m,1142_FACS 3m,5
1143_FACS 3m,large_intestine,enterocyte of epithelium of large intestine,3m,FACS 3m,1143_FACS 3m,27
1144_FACS 3m,tongue,basal cell of epidermis,3m,FACS 3m,1144_FACS 3m,23
1145_FACS 3m,large_intestine,large intestine goblet cell,3m,FACS 3m,1145_FACS 3m,27
1146_FACS 3m,marrow,granulocyte,3m,FACS 3m,1146_FACS 3m,21
1147_FACS 3m,brain_non-myeloid,endothelial cell,3m,FACS 3m,1147_FACS 3m,0
1148_FACS 3m,bladder,bladder cell,3m,FACS 3m,1148_FACS 3m,5
1149_FACS 3m,brain_myeloid,microglial cell,3m,FACS 3m,1149_FACS 3m,13
1150_FACS 3m,bladder,bladder urothelial cell,3m,FACS 3m,1150_FACS 3m,7
1151_FACS 3m,large_intestine,epithelial cell of large intestine,3m,FACS 3m,1151_FACS 3m,27
1152_FACS 3m,skin,basal cell of epidermis,3m,FACS 3m,1152_FACS 3m,23
1153_FACS 3m,fat,endothelial cell,3m,FACS 3m,1153_FACS 3m,0
1154_FACS 3m,thymus,immature T cell,3m,FACS 3m,1154_FACS 3m,31
1155_FACS 3m,marrow,monocyte,3m,FACS 3m,1155_FACS 3m,22
1156_FACS 3m,skin,keratinocyte stem cell,3m,FACS 3m,1156_FACS 3m,7
1157_FACS 3m,heart,leukocyte,3m,FACS 3m,1157_FACS 3m,13
1158_FACS 3m,trachea,mesenchymal cell,3m,FACS 3m,1158_FACS 3m,5
1159_FACS 3m,lung,lung endothelial cell,3m,FACS 3m,1159_FACS 3m,0
1160_FACS 3m,fat,myeloid cell,3m,FACS 3m,1160_FACS 3m,18
1161_FACS 3m,pancreas,pancreatic A cell,3m,FACS 3m,1161_FACS 3m,28
1162_FACS 3m,marrow,granulocyte,3m,FACS 3m,1162_FACS 3m,21
1163_FACS 3m,pancreas,type B pancreatic cell,3m,FACS 3m,1163_FACS 3m,28
1164_FACS 3m,brain_non-myeloid,astrocyte,3m,FACS 3m,1164_FACS 3m,2
1165_FACS 3m,marrow,Slamf1-negative multipotent progenitor cell,3m,FACS 3m,1165_FACS 3m,9
1166_FACS 3m,mammary_gland,luminal epithelial cell of mammary gland,3m,FACS 3m,1166_FACS 3m,7
1167_FACS 3m,heart,leukocyte,3m,FACS 3m,1167_FACS 3m,13
1168_FACS 3m,fat,T cell,3m,FACS 3m,1168_FACS 3m,1
1169_FACS 3m,large_intestine,epithelial cell of large intestine,3m,FACS 3m,1169_FACS 3m,27
1170_FACS 3m,fat,myeloid cell,3m,FACS 3m,1170_FACS 3m,22
1171_FACS 3m,large_intestine,epithelial cell of large intestine,3m,FACS 3m,1171_FACS 3m,7
1172_FACS 3m,fat,natural killer cell,3m,FACS 3m,1172_FACS 3m,30
1173_FACS 3m,tongue,keratinocyte,3m,FACS 3m,1173_FACS 3m,23
1174_FACS 3m,marrow,late pro-B cell,3m,FACS 3m,1174_FACS 3m,9
1175_FACS 3m,brain_non-myeloid,brain pericyte,3m,FACS 3m,1175_FACS 3m,24
1176_FACS 3m,kidney,kidney collecting duct epithelial cell,3m,FACS 3m,1176_FACS 3m,7
1177_FACS 3m,mammary_gland,luminal epithelial cell of mammary gland,3m,FACS 3m,1177_FACS 3m,7
1178_FACS 3m,large_intestine,large intestine goblet cell,3m,FACS 3m,1178_FACS 3m,27
1179_FACS 3m,lung,stromal cell,3m,FACS 3m,1179_FACS 3m,5
1180_FACS 3m,tongue,basal cell of epidermis,3m,FACS 3m,1180_FACS 3m,23
1181_FACS 3m,skin,epidermal cell,3m,FACS 3m,1181_FACS 3m,23
1182_FACS 3m,brain_non-myeloid,neuron,3m,FACS 3m,1182_FACS 3m,28
1183_FACS 3m,brain_non-myeloid,oligodendrocyte precursor cell,3m,FACS 3m,1183_FACS 3m,2
1184_FACS 3m,heart,myofibroblast cell,3m,FACS 3m,1184_FACS 3m,24
1185_FACS 3m,kidney,endothelial cell,3m,FACS 3m,1185_FACS 3m,0
1186_FACS 3m,marrow,immature B cell,3m,FACS 3m,1186_FACS 3m,8
1187_FACS 3m,liver,hepatocyte,3m,FACS 3m,1187_FACS 3m,26
1188_FACS 3m,marrow,macrophage,3m,FACS 3m,1188_FACS 3m,18
1189_FACS 3m,pancreas,pancreatic ductal cell,3m,FACS 3m,1189_FACS 3m,15
1190_FACS 3m,liver,endothelial cell of hepatic sinusoid,3m,FACS 3m,1190_FACS 3m,0
1191_FACS 3m,kidney,epithelial cell of proximal tubule,3m,FACS 3m,1191_FACS 3m,26
1192_FACS 3m,large_intestine,enterocyte of epithelium of large intestine,3m,FACS 3m,1192_FACS 3m,27
1193_FACS 3m,heart,endocardial cell,3m,FACS 3m,1193_FACS 3m,0
1194_FACS 3m,pancreas,pancreatic acinar cell,3m,FACS 3m,1194_FACS 3m,3
1195_FACS 3m,lung,lung endothelial cell,3m,FACS 3m,1195_FACS 3m,0
1196_FACS 3m,thymus,immature T cell,3m,FACS 3m,1196_FACS 3m,31
